date,home_team,score,away_team
05-11-2023,Roma,2 - 1,Lecce
11-11-2023,Lecce,2 - 2,Milan
27-11-2023,Verona,2 - 2,Lecce
03-12-2023,Lecce,1 - 1,Bologna
11-12-2023,Empoli,1 - 1,Lecce
16-12-2023,Lecce,2 - 1,Frosinone
23-12-2023,Inter,2 - 0,Lecce
30-12-2023,Atalanta,? - ?,Lecce
21-08-2023,Bologna,0 - 2,Milan
26-08-2023,Milan,4 - 1,Torino
01-09-2023,Roma,1 - 2,Milan
16-09-2023,Inter,5 - 1,Milan
23-09-2023,Milan,1 - 0,Verona
27-09-2023,Cagliari,1 - 3,Milan
30-09-2023,Milan,2 - 0,Lazio
07-10-2023,Genoa,0 - 1,Milan
22-10-2023,Milan,0 - 1,Juventus
29-10-2023,Napoli,2 - 2,Milan
04-11-2023,Milan,0 - 1,Udinese
11-11-2023,Lecce,2 - 2,Milan
25-11-2023,Milan,1 - 0,Fiorentina
02-12-2023,Milan,3 - 1,Frosinone
09-12-2023,Atalanta,3 - 2,Milan
17-12-2023,Milan,3 - 0,Monza
22-12-2023,Salernitana,2 - 2,Milan
30-12-2023,Milan,? - ?,Sassuolo
19-08-2023,Inter,2 - 0,Monza
26-08-2023,Monza,2 - 0,Empoli
02-09-2023,Atalanta,3 - 0,Monza
17-09-2023,Monza,1 - 1,Lecce
23-09-2023,Lazio,1 - 1,Monza
28-09-2023,Monza,0 - 0,Bologna
02-10-2023,Sassuolo,0 - 1,Monza
08-10-2023,Monza,3 - 0,Salernitana
22-10-2023,Roma,1 - 0,Monza
29-10-2023,Monza,1 - 1,Udinese
05-11-2023,Verona,1 - 3,Monza
11-11-2023,Monza,1 - 1,Torino
26-11-2023,Cagliari,1 - 1,Monza
01-12-2023,Monza,1 - 2,Juventus
10-12-2023,Monza,1 - 0,Genoa
17-12-2023,Milan,3 - 0,Monza
22-12-2023,Monza,0 - 1,Fiorentina
29-12-2023,Napoli,0 - 0,Monza
19-08-2023,Frosinone,1 - 3,Napoli
27-08-2023,Napoli,2 - 0,Sassuolo
02-09-2023,Napoli,1 - 2,Lazio
16-09-2023,Genoa,2 - 2,Napoli
24-09-2023,Bologna,0 - 0,Napoli
27-09-2023,Napoli,4 - 1,Udinese
30-09-2023,Lecce,0 - 4,Napoli
08-10-2023,Napoli,1 - 3,Fiorentina
21-10-2023,Verona,1 - 3,Napoli
29-10-2023,Napoli,2 - 2,Milan
04-11-2023,Salernitana,0 - 2,Napoli
12-11-2023,Napoli,0 - 1,Empoli
25-11-2023,Atalanta,1 - 2,Napoli
03-12-2023,Napoli,0 - 3,Inter
08-12-2023,Juventus,1 - 0,Napoli
16-12-2023,Napoli,2 - 1,Cagliari
23-12-2023,Roma,2 - 0,Napoli
29-12-2023,Napoli,0 - 0,Monza
20-08-2023,Roma,2 - 2,Salernitana
26-08-2023,Verona,2 - 1,Roma
01-09-2023,Roma,1 - 2,Milan
17-09-2023,Roma,7 - 0,Empoli
24-09-2023,Torino,1 - 1,Roma
28-09-2023,Genoa,4 - 1,Roma
